venue,n_race,date
HV,14,1979/09/22
HV,14,1979/10/03
HV,14,1980/02/02
ST,14,1979/11/04
ST,14,1980/03/01
HV,14,1979/09/29
HV,14,1979/10/06
HV,14,1979/10/10
HV,14,1979/10/13
HV,14,1979/10/20
HV,14,1979/10/24
HV,14,1979/10/27
HV,14,1979/10/31
HV,14,1980/02/06
HV,14,1980/02/09
HV,14,1980/02/19
ST,14,1980/02/23
ST,14,1980/02/27
ST,14,1979/11/10
HV,14,1979/11/14
ST,14,1979/11/17
HV,14,1979/11/21
ST,14,1979/11/24
ST,14,1980/03/05
ST,14,1980/03/08
ST,14,1980/03/09
ST,14,1980/03/15
ST,14,1980/03/19
ST,14,1980/03/22
ST,14,1980/03/26
HV,14,1981/03/04
ST,14,1979/12/01
HV,14,1981/12/02
ST,14,1980/09/21
ST,14,1980/04/09
ST,14,1981/05/02
ST,14,1980/10/01
HV,14,1981/09/19
HV,14,1981/01/01
HV,14,1981/10/03
ST,14,1981/11/04
HV,14,1981/02/07
ST,14,1980/11/01
ST,14,1980/12/03
HV,14,1980/01/01
ST,14,1980/05/03
ST,14,1981/03/07
ST,14,1981/03/14
ST,14,1981/03/18
ST,14,1981/03/21
ST,14,1981/03/25
ST,14,1981/03/28
HV,14,1979/12/05
ST,14,1979/12/09
HV,14,1979/12/12
HV,14,1979/12/15
HV,14,1979/12/22
HV,14,1979/12/29
ST,14,1981/12/05
HV,14,1981/12/09
HV,14,1981/12/12
HV,14,1981/12/19
HV,14,1981/12/23
ST,14,1980/09/27
ST,14,1980/04/12
ST,14,1980/04/16
ST,14,1980/04/19
ST,14,1980/04/21
ST,14,1980/04/27
ST,14,1980/04/30
ST,14,1981/05/10
HV,14,1981/05/13
HV,14,1981/05/16
HV,14,1981/05/20
HV,14,1981/05/23
HV,14,1981/05/30
ST,14,1980/10/04
ST,14,1980/10/11
ST,14,1980/10/15
ST,14,1980/10/22
ST,14,1980/10/25
ST,14,1980/10/29
HV,14,1981/09/26
HV,14,1981/09/30
ST,14,1981/01/03
HV,14,1981/01/07
ST,14,1981/01/10
HV,14,1981/01/14
ST,14,1981/01/17
HV,14,1981/01/21
ST,14,1981/01/24
ST,14,1981/01/25
HV,14,1981/01/28
HV,14,1981/10/07
HV,14,1981/10/10
HV,14,1981/10/17
HV,14,1981/10/21
ST,14,1981/10/24
ST,14,1981/10/28
ST,14,1981/10/31
ST,14,1981/11/07
ST,14,1981/11/15
ST,14,1981/11/18
ST,14,1981/11/21
ST,14,1981/11/25
ST,14,1981/11/28
HV,14,1981/02/11
HV,14,1981/02/14
HV,14,1981/02/18
HV,14,1981/02/21
HV,14,1981/02/25
HV,14,1981/02/28
ST,14,1980/11/08
ST,14,1980/11/12
ST,14,1980/11/16
ST,14,1980/11/19
ST,14,1980/11/22
ST,14,1980/11/26
ST,14,1980/11/29
ST,14,1980/12/06
HV,14,1980/12/13
ST,14,1980/12/17
HV,14,1980/12/20
HV,14,1980/12/23
